German,English
Die,The
Sei,Be
von,from
Zu,To
In,In
Er,He
haben,have
Das,The
Sie,She
ICH,I
mit,with
als,as
nicht,not
An,At
sie,she
bei,at
von,from
Das,The
Du,You
Tun,Do
Aber,But
aus,out of
oder,or
welche,which
eins,one
würde,would
alle,all
Wille,will
Dort,There
sagen,say
WHO,WHO
machen,make
Wann,When
dürfen,may
mehr,more
Wenn,If
NEIN,NO
Mann,Man
aus,out of
andere,other
Also,So
Was,What
hoch,high
gehen,go
um,around
als,as
hinein,into it
könnte,could
Zustand,Condition
nur,only
neu,new
manche,some
nehmen,take
diese,this
wissen,knowledge
sehen,see
verwenden,use
erhalten,receive
wie,How
Dann,Then
Erste,First
beliebig,any
arbeiten,work
Jetzt,Now
Mai,May
solch,such
geben,give
über,above
denken,think
am meisten,the most
sogar,even
finden,find
Auch,Also
Weg,Away
viele,many
muss,must
sehen,see
Vor,Before
Großartig,Great
durch,through
lang,long
Wo,Where
viel,much
sollen,should
Also,So
runter,down
eigen,own
Nur,Only
Gut,Good
jede,every
diese,this
fühlen,feel
erscheinen,appear
Wie,How
hoch,high
zu,to
Ort,Location
wenig,few
sehr,very
Trotzdem,Despite it
Nation,nation
Hand,hand
alt,old
Leben,Life
erzählen,tell
schreiben,write
werden,become
zeigen,show
Haus,House
beide,both
brauchen,need
bedeuten,mean
entwickeln,develop
zuletzt,last
bewegen,move
Ding,thing
allgemein,generally
Schule,School
niemals,never
Dasselbe,The same thing
beginnen,begin
während,while
Nummer,number
Teil,Part
drehen,turn
verlassen,leave
könnte,could
wollen,want
Punkt,Point
bilden,form
aus,out of
Kind,child
wenige,few
seit,since
gegen,against
fragen,questions
heim,home
groß,large
Person,person
Ende,End
offen,open
öffentlich,public
folgen,consequences
während,while
gegenwärtig,currently
ohne,without
wieder,again
regieren,govern
um,around
möglich,possible
Kopf,Head
halten,hold
Wort,Word
Programm,program
Problem,problem
Jedoch,However
führen,lead
System,system
Satz,Sentence
Befehl,command
Auge,Eye
planen,to plan
laufen,run
halten,hold
Gesicht,Face
Tatsache,fact
Gruppe,group
spielen,play
Stand,was standing
Zunahme,increase
früh,early
Kurs,course
ändern,change
helfen,help
Linie,line
schließen,close
Fall,case
Gewalt,Violence
treffen,meet
Wasser,Water
auf,on
Krieg,War
bauen,build
hören,hear
Vereinen,Unite
live,live
jeden,every
Land,country
bringen,bring
lassen,let
Seite,Page
versuchen,attempt
bieten,offer
weitermachen,keep going
Name,Surname
bestimmt,certainly
Leistung,Performance
zahlen,pay
Ergebnis,Result
Frage,Ask
Studie,study
Frau,Woman
Mitglied,Member
weit,far
Nacht,Night
stets,always
Service,service
weg,away
Bericht,report
etwas,something
Unternehmen,Pursue
Woche,Week
Kirche,Church
zu,to
Start,begin
Sozial,Social
Zimmer,Room
Figur,figure
Natur,Nature
obwohl,although
jung,young
weniger,fewer
genug,enough
fast,nearly
enthalten,contain
Präsident,president
noch,still
besser,better
groß,large
Junge,Boy
kosten,cost
Geschäft,Business
Wert,Value
Warum,Why
klar,clear
erwarten,expect
Familie,Family
vollständig,complete
Akt,act
Sinn,sense
Geist,Spirit
Erfahrung,Experience
Kunst,Art
nächste,next
Direkte,Direct
Auto,automobile
Gesetz,Law
Industrie,Industry
wichtig,important
Mädchen,Girl
Gott,God
mehrere,several
Gegenstand,Object
üblich,usual
eher,rather
pro,Per
oft,often
Art,Art
unter,under
Weiß,White
Grund,Reason
Aktion,action
zurückkehren,to return
Fuß,Foot
Pflege,Care
einfach,simply
innerhalb,within
Liebe,Love
menschlich,human
entlang,along
erscheinen,appear
Arzt,Physician
glauben,believe
sprechen,speak
aktiv,active
Student,University student
Monat,Month
fahren,drive
Sorge,Worries
am besten,preferably
Tür,door
Hoffnung,Hope
Beispiel,Example
informieren,inform
Körper,Body
immer,always
am wenigsten,the least
wahrscheinlich,probably
verstehen,understand
erreichen,to reach
Wirkung,Effect
Idee,idea
ganz,quite
Kontrolle,control
Zustand,Condition
Feld,Field
passieren,happen
fallen,fall
Notiz,note
besonders,particularly
sprechen,speak
besondere,special
messen,measure
gehen,go
niedrig,low
Typ,Type
tragen,carry
Rate,rate
bleiben,remain
voll,full
Straße,Street
einfach,simply
Obwohl,Although
aufzeichnen,record
sitzen,sit
bestimmen,determine
Ebene,level
Sicher,secure
erhalten,receive
daher,therefore
Moment,moment
Geist,Spirit
Zug,Train
Hochschule,University
Religion,religion
Musik,Music
wachsen,grow
frei,free
Ursache,Caused
Aufschlag,surcharge
Alter,Old
Buch,Book
Planke,plank
Klang,sound
Büro,Office
schneiden,cut
Schritt,Step
WAHR,TRUE
Geschichte,Story
über,above
stark,strong
Freund,Friend
notwendig,necessary
hinzufügen,add
Gericht,Court
handeln,act
Steuer,Tax
Unterstützung,Support
Party,party
ob,if
entweder,either
Land,country
Material,material
passieren,happen
